"CODMUNRES","n_nasc_vivos","ANONASC","UF","NOMEUF","NOMEMUN"
110001,452,2010,11,"Rondônia","Alta Floresta D'Oeste"
110002,1633,2010,11,"Rondônia","Ariquemes"
110003,96,2010,11,"Rondônia","Cabixi"
110004,1178,2010,11,"Rondônia","Cacoal"
110005,240,2010,11,"Rondônia","Cerejeiras"
110006,262,2010,11,"Rondônia","Colorado do Oeste"
110007,131,2010,11,"Rondônia","Corumbiara"
110008,263,2010,11,"Rondônia","Costa Marques"
110009,495,2010,11,"Rondônia","Espigão D'Oeste"
110010,882,2010,11,"Rondônia","Guajará-Mirim"
110011,819,2010,11,"Rondônia","Jaru"
110012,1535,2010,11,"Rondônia","Ji-Paraná"
110013,501,2010,11,"Rondônia","Machadinho D'Oeste"
110014,325,2010,11,"Rondônia","Nova Brasilândia D'Oeste"
110015,655,2010,11,"Rondônia","Ouro Preto do Oeste"
110018,604,2010,11,"Rondônia","Pimenta Bueno"
110020,8089,2010,11,"Rondônia","Porto Velho"
110025,183,2010,11,"Rondônia","Presidente Médici"
110026,39,2010,11,"Rondônia","Rio Crespo"
110028,793,2010,11,"Rondônia","Rolim de Moura"
110029,127,2010,11,"Rondônia","Santa Luzia D'Oeste"
110030,1304,2010,11,"Rondônia","Vilhena"
110032,252,2010,11,"Rondônia","São Miguel do Guaporé"
110033,417,2010,11,"Rondônia","Nova Mamoré"
110034,190,2010,11,"Rondônia","Alvorada D'Oeste"
110037,204,2010,11,"Rondônia","Alto Alegre dos Parecis"
110040,282,2010,11,"Rondônia","Alto Paraíso"
110045,656,2010,11,"Rondônia","Buritis"
110050,149,2010,11,"Rondônia","Novo Horizonte do Oeste"
110060,70,2010,11,"Rondônia","Cacaulândia"
110070,183,2010,11,"Rondônia","Campo Novo de Rondônia"
110080,365,2010,11,"Rondônia","Candeias do Jamari"
110090,53,2010,11,"Rondônia","Castanheiras"
110092,123,2010,11,"Rondônia","Chupinguaia"
110094,215,2010,11,"Rondônia","Cujubim"
110100,165,2010,11,"Rondônia","Governador Jorge Teixeira"
110110,114,2010,11,"Rondônia","Itapuã do Oeste"
110120,112,2010,11,"Rondônia","Ministro Andreazza"
110130,191,2010,11,"Rondônia","Mirante da Serra"
110140,222,2010,11,"Rondônia","Monte Negro"
110143,104,2010,11,"Rondônia","Nova União"
110145,71,2010,11,"Rondônia","Parecis"
110146,45,2010,11,"Rondônia","Pimenteiras do Oeste"
110147,48,2010,11,"Rondônia","Primavera de Rondônia"
110148,75,2010,11,"Rondônia","São Felipe D'Oeste"
110149,255,2010,11,"Rondônia","São Francisco do Guaporé"
110150,194,2010,11,"Rondônia","Seringueiras"
110155,51,2010,11,"Rondônia","Teixeirópolis"
110160,135,2010,11,"Rondônia","Theobroma"
110170,111,2010,11,"Rondônia","Urupá"
110175,80,2010,11,"Rondônia","Vale do Anari"
110180,97,2010,11,"Rondônia","Vale do Paraíso"
120001,234,2010,12,"Acre","Acrelândia"
120005,252,2010,12,"Acre","Assis Brasil"
120010,475,2010,12,"Acre","Brasiléia"
120013,185,2010,12,"Acre","Bujari"
120017,191,2010,12,"Acre","Capixaba"
120020,1724,2010,12,"Acre","Cruzeiro do Sul"
120025,253,2010,12,"Acre","Epitaciolândia"
120030,927,2010,12,"Acre","Feijó"
120032,259,2010,12,"Acre","Jordão"
120033,409,2010,12,"Acre","Mâncio Lima"
120034,212,2010,12,"Acre","Manoel Urbano"
120035,419,2010,12,"Acre","Marechal Thaumaturgo"
120038,336,2010,12,"Acre","Plácido de Castro"
120039,351,2010,12,"Acre","Porto Walter"
120040,6437,2010,12,"Acre","Rio Branco"
120042,456,2010,12,"Acre","Rodrigues Alves"
120043,205,2010,12,"Acre","Santa Rosa do Purus"
120045,364,2010,12,"Acre","Senador Guiomard"
120050,961,2010,12,"Acre","Sena Madureira"
120060,1214,2010,12,"Acre","Tarauacá"
120070,298,2010,12,"Acre","Xapuri"
120080,333,2010,12,"Acre","Porto Acre"
130000,2,2010,NA,NA,NA
130002,281,2010,13,"Amazonas","Alvarães"
130006,230,2010,13,"Amazonas","Amaturá"
130008,182,2010,13,"Amazonas","Anamã"
130010,244,2010,13,"Amazonas","Anori"
130014,235,2010,13,"Amazonas","Apuí"
130020,260,2010,13,"Amazonas","Atalaia do Norte"
130030,799,2010,13,"Amazonas","Autazes"
130040,262,2010,13,"Amazonas","Barcelos"
130050,687,2010,13,"Amazonas","Barreirinha"
130060,940,2010,13,"Amazonas","Benjamin Constant"
130063,408,2010,13,"Amazonas","Beruri"
130068,364,2010,13,"Amazonas","Boa Vista do Ramos"
